depth,Abiskomy,Ablabesm,Acamptoc,Allopsec,Brillia,Bryophae,C.obnixu,C.trifas,Chaetocl,Chir ant,Chir plu,Cladopel,Cladotan,Cory amb,Cory arc,Cory cor,Cory edw,Cory lob,Cory oli,Coryno A,Cric 292,Cric cyl,Cric ind,Cric syl,Cric tri,Crico C,Crico P,Cryptoch,Cryptote,D.bertra,Diam abe,Diamesa,Dicroten,Diplocla,Einfeldi,Endo alb,Endo imp,Endo ten,Euki dev,Eukieffe,Euorthoc,Georthoc,Glyptote,Guttipel,H-tanyta,Heleniel,Hete bru,Hete gri,Hete mar,Hete sub,Hydr con,Hydr joh,Hydr lug,Hydrobae,Kiefferu,Krenopel,Krenosmi,Labrundi,Lauterbo,Limnophy,MApDerPs,Mesocric,Mesopsec,Metr eur,Metr fus,Micr ped,Micro in,Micro P,Micro pa,Micro ra,Microchi,Monodiam,Nano bra,Nano rec,Natarsia,Nilotany,O-ius,Omisus,Orth oli,Orth S,Orth tri,P. parva,P.albima,P.gracil,P.psilop,P.vitios,Pagastie,Para aus,Para bat,Para cor,Para nig,Para nud,Para pen,Para tri,Para var,Parachae,Paraclad,Paraclop,Paracric,Parak A,Parameri,Paraphae,Parasmit,Paro kie,Parortho,Phae fla,Phaen A,Pogonocl,Poly con,Poly nub,Poly sor,Procladi,Prodiame,Props N,Protanyp,Psec sep,Psec sor,Pseudoch,Pseudodi,Pseudort,Pseudosm,Rheo cha,Rheo eff,Rheo fus,Rheotany,S.longiv,S.rosens,Sergenti,Smittia,St-nella,Stempell,Stenochi,Sticto.A,Stilocla,Symposio,Synortho,T.lactes,T.nemo,Tany chi,Tany gla,Tany lu2,Tany lug,Tany men,Tany pal,Tanypus,Th-myia,Thie cla,Thien E,Tvetenia,Xenochir,Zalu zal,Zalut A,Zalut B,Zavrelim,Lipinella,Neoz,Zalut_Hydr,Count
1040.5,0,5.660377358,0,0,0,0,0,0,0,3.773584906,5.660377358,5.660377358,0,0,0,0,3.773584906,0,0,0,3.773584906,0,0,0,0,0,0,0,0,0,0,0,5.660377358,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.773584906,7.547169811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886792453,0,0,0,3.773584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886792453,5.660377358,0,0,0,0,3.773584906,5.660377358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.75471698,5.660377358,0,0,0,0,0,0,0,0,0,0,0,3.773584906,0,53
1041.5,0,0,0,0,0,0,0,0,0,12.72727273,1.818181818,3.636363636,1.818181818,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0,0,1.818181818,0,1.818181818,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.636363636,9.090909091,0,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.636363636,0,0,0,3.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0,1.818181818,0,0,0,0,3.636363636,10.90909091,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,9.090909091,20,0,0,0,0,0,0,0,0,0,0,0,0,0,55
1042.5,0,0,0,0,0,0,0,0,0,6.666666667,3.333333333,13.33333333,0,0,0,0,3.333333333,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,3.333333333,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,6.666666667,0,0,0,0,3.333333333,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1043.5,0,0,0,0,0,0,0,0,0,8.695652174,2.173913043,13.04347826,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,2.173913043,0,0,0,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52173913,8.695652174,0,0,0,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173913043,0,0,0,4.347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347826087,15.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,2.173913043,10.86956522,0,0,0,0,0,0,0,0,0,0,0,4.347826087,0,46
1044.5,0,2.380952381,0,0,0,0,0,0,0,4.761904762,0,14.28571429,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,2.380952381,0,0,0,0,0,7.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.380952381,7.142857143,7.142857143,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,14.28571429,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.142857143,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1045.5,0,0,0,0,0,0,0,0,0,4.545454545,12.12121212,10.60606061,0,0,0,0,9.090909091,4.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515151515,0,1.515151515,0,0,0,0,0,0,0,6.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03030303,6.060606061,0,0,0,0,0,3.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,0,0,0,1.515151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515151515,1.515151515,3.03030303,0,0,0,0,4.545454545,7.575757576,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515151515,0,0,0,0,0,0,0,0,0,0,6.060606061,6.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,66
1046.5,0,4,0,0,0,0,0,0,0,8,8,4,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1047.5,0,0,0,0,0,0,0,0,0,13.18681319,3.296703297,10.98901099,0,2.197802198,0,0,0,2.197802198,0,0,0,2.197802198,0,0,0,0,0,0,0,0,0,0,1.098901099,0,5.494505495,0,4.395604396,0,0,0,0,0,3.296703297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,9.89010989,0,0,0,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.197802198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.296703297,2.197802198,1.098901099,0,0,0,0,4.395604396,8.791208791,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,4.395604396,0,0,0,0,0,0,0,0,0,0,2.197802198,9.89010989,0,0,0,0,0,0,0,0,0,0,0,0,0,91
1048.5,0,0,0,0,0,0,0,0,0,22.58064516,2.580645161,7.096774194,0,3.870967742,0,0,0.64516129,0,0,0,0,2.580645161,0,0,0,0,0,0.64516129,0,0,0,0,7.096774194,0,1.935483871,1.290322581,1.935483871,0,0,0,0,0,2.580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64516129,1.935483871,0,0,0,0,0,1.290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.290322581,0,0,3.225806452,0,0.64516129,0,0,0,0,4.516129032,10.32258065,0,0,0,0,0,0,0,0,0,0,0,0,0,1.935483871,0,0,0,0,0,0,0,0,0,0,0,14.19354839,0,0,0,0,0,0,0,0,0,0,0,0,0,155
1049.5,0,4.255319149,0,0,0,0,0,0,0,23.40425532,8.510638298,6.382978723,0,4.255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127659574,4.255319149,0,0,0,0,0,2.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127659574,0,0,0,4.255319149,2.127659574,0,0,0,0,8.510638298,4.255319149,0,0,0,0,0,0,0,0,0,0,2.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63829787,0,0,0,0,0,0,0,0,0,0,0,2.127659574,0,47
1050.5,0,0,0,0,0,0,0,0,0,28.125,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,3.125,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,21.875,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1051.5,0,0,0,0,0,0,0,0,0,20,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,25
1052.5,0,0,0,0,0,0,0,0,0,14.28571429,4.761904762,1.587301587,6.349206349,0,0,0,1.587301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.174603175,0,0,0,0,0,1.587301587,0,0,0,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.174603175,3.174603175,1.587301587,0,0,0,0,6.349206349,7.936507937,0,0,1.587301587,0,0,0,0,0,0,0,0,0,0,3.174603175,0,0,0,0,3.174603175,0,0,3.174603175,0,0,3.174603175,4.761904762,0,0,0,0,0,0,0,0,0,0,0,3.174603175,0,63
